sitename,params_siml_spinup,params_siml_spinupyears,params_siml_recycle,params_siml_outdt,params_siml_ltre,params_siml_ltne,params_siml_ltrd,params_siml_ltnd,params_siml_lgr3,params_siml_lgn3,params_siml_lgr4,site_info_lon,site_info_lat,site_info_elv,site_info_whc
BE-Bra,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4.51984,51.30761,16,262.9107971191406
BE-Lon,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4.746234,50.55162,170,183.68844604492188
BE-Vie,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5.998099,50.304962,490,224.26194763183594
CH-Cha,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8.410440444946289,47.21022033691406,393,240.23568725585938
CH-Fru,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8.537779808044434,47.1158332824707,982,213.80369567871094
CH-Lae,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8.365,47.47808333,645,216.66603088378906
CH-Oe2,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7.734333333,47.28630556,450,222.75596618652344
CZ-BK1,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18.536882,49.502075,875,259.2153015136719
DE-Geb,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10.91463,51.09973,161.5,186.36428833007812
DE-Gri,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,13.51259,50.95004,385,232.6336669921875
DE-Hai,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10.452089,51.079407,438.7,190.60711669921875
DE-Kli,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,13.52238,50.89306,478,192.32388305664062
DE-Obe,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,13.72128963470459,50.786659240722656,734,232.6336669921875
DE-Tha,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,13.56515,50.96256,380,240.72471618652344
FI-Let,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,23.95952,60.64183,125,232.94081115722656
GF-Guy,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-52.9248,5.2787,40,530.6138916015625
IT-BCi,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,14.957444,40.52375,10,408.5556945800781
IT-Lav,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11.281319618225098,45.956199645996094,1353,239.14027404785156
IT-SR2,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10.29091,43.73202,4,187.77357482910156
US-GLE,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-106.2399,41.3665,3197,215.2929229736328
US-Ha1,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-72.1715,42.5378,340,264.8782958984375
US-MMS,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-86.4131,39.3232,275,301.7260437011719
US-Ne1,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-96.4766,41.1651,361,180.2693328857422
US-UMd,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-84.6975,45.5625,239,269.7417297363281
US-Var,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-120.9508,38.4133,129,365.8648986816406
US-Wkg,TRUE,10,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-109.9419,31.7365,1531,129.5244598388672
