sitename,date,gpp_umolCm2s,evsp_umolH2Om2s,trans_umolH2Om2s,evapotrans_umolH2Om2s,mrso_kgm2,chi__,vcmax25_umolCm2s,jmax25_umolCm2s
US-GLE,2019-01-01,0,NA,NA,464.22735715108644,215.2929229736328,0,0,0
US-GLE,2019-01-02,0,NA,NA,702.8212395224551,215.22731018066406,0,0,0
US-GLE,2019-01-03,0.4631559720929758,NA,NA,825.2795034475288,215.0801544189453,0.5366228818893433,6.247849796636729,21.720850782003254
US-GLE,2019-01-04,0.6745141689424161,NA,NA,874.4899750737007,214.8922576904297,0.5092529058456421,9.34439231059514,29.64456689369399
US-GLE,2019-01-05,0.41744792488990007,NA,NA,838.4162874378785,214.72218322753906,0.5116814970970154,5.719574346585432,19.572124074329622
US-GLE,2019-01-06,0,NA,NA,682.5326646796959,215.2929229736328,0,0,0
US-GLE,2019-01-07,0,NA,NA,557.9875483189101,215.2929229736328,0,0,0
US-GLE,2019-01-08,0,NA,NA,655.9960268161915,215.2929229736328,0,0,0
US-GLE,2019-01-09,0.6524157238963209,NA,NA,896.1649557935848,215.0491943359375,0.5465736389160156,8.804664503259119,29.00978142861277
US-GLE,2019-01-10,0.2951544629018984,NA,NA,858.3409949339957,214.8262939453125,0.5551645755767822,3.9283095247810706,14.112371900409926
US-GLE,2019-01-11,0,NA,NA,691.1588579784205,215.2929229736328,0,0,0
US-GLE,2019-01-12,0,NA,NA,681.0564225838508,215.16610717773438,0,0,0
US-GLE,2019-01-13,0,NA,NA,727.5226736755528,215.25897216796875,0,0,0
US-GLE,2019-01-14,0.27924057464172813,NA,NA,880.364205979516,214.9847412109375,0.48252072930336,3.8569078242289834,13.849497918272391
US-GLE,2019-01-15,0,NA,NA,786.7711163106769,214.7646026611328,0,0,0
US-GLE,2019-01-16,0,NA,NA,756.7781602404245,215.2929229736328,0,0,0
US-GLE,2019-01-17,0,NA,NA,801.4315133722721,215.2929229736328,0,0,0
US-GLE,2019-01-18,0,NA,NA,702.7321698243725,215.2929229736328,0,0,0
US-GLE,2019-01-19,0,NA,NA,712.4365510518659,215.2929229736328,0,0,0
US-GLE,2019-01-20,0,NA,NA,873.1669604533004,215.2929229736328,0.5802739262580872,0,NA
US-GLE,2019-01-21,0,NA,NA,826.0518496419176,215.2929229736328,0,0,0
US-GLE,2019-01-22,0,NA,NA,492.5484167327606,215.2929229736328,0,0,0
US-GLE,2019-01-23,0,NA,NA,624.1868384213114,215.2929229736328,0,0,0
US-GLE,2019-01-24,0,NA,NA,574.4046190515958,215.2929229736328,0,0,0
US-GLE,2019-01-25,0,NA,NA,621.3065221476458,215.2929229736328,0,0,0
US-GLE,2019-01-26,0,NA,NA,686.0640252568594,215.2929229736328,0,0,0
US-GLE,2019-01-27,0,NA,NA,913.301137862382,215.2929229736328,0,0,0
US-GLE,2019-01-28,0,NA,NA,558.5013087762236,215.2929229736328,0,0,0
US-GLE,2019-01-29,0,NA,NA,671.1000093707331,215.0045928955078,0,0,0
US-GLE,2019-01-30,0,NA,NA,845.9235139099169,214.82859802246094,0,0,0
US-GLE,2019-01-31,0,NA,NA,951.0649268519243,214.3004150390625,0,0,0
US-GLE,2019-02-01,0.5434888679488205,NA,NA,1148.8569923389105,213.5831756591797,0.5220072269439697,7.379675025731558,25.869017918012105
US-GLE,2019-02-02,0.08248015490854964,NA,NA,1095.3963937337508,212.90167236328125,0.5840245485305786,1.0711147524489206,4.2235246837663
US-GLE,2019-02-03,0,NA,NA,1040.089630173067,215.2929229736328,0,0,0
US-GLE,2019-02-04,0,NA,NA,1021.6320431772083,215.2929229736328,0,0,0
US-GLE,2019-02-05,0,NA,NA,977.3368851392846,215.2929229736328,0,0,0
US-GLE,2019-02-06,0,NA,NA,810.0083427419388,215.2929229736328,0,0,0
US-GLE,2019-02-07,0,NA,NA,436.1718969703211,215.2929229736328,0,0,0
US-GLE,2019-02-08,0,NA,NA,833.3781005914319,214.76878356933594,0,0,0
US-GLE,2019-02-09,0,NA,NA,1013.7695343896685,215.2929229736328,0,0,0
US-GLE,2019-02-10,0,NA,NA,932.8773850766719,215.16656494140625,0,0,0
US-GLE,2019-02-11,0,NA,NA,675.3745117059951,215.2929229736328,0,0,0
US-GLE,2019-02-12,0,NA,NA,881.5306970857298,215.2929229736328,0,0,0
US-GLE,2019-02-13,0,NA,NA,1097.7441697944828,215.2929229736328,0,0,0
US-GLE,2019-02-14,0,NA,NA,1230.8941701802698,215.2929229736328,0,0,0
US-GLE,2019-02-15,0,NA,NA,1156.4628700170008,215.2929229736328,0,0,0
US-GLE,2019-02-16,0,NA,NA,783.2940253946516,215.2929229736328,0,0,0
US-GLE,2019-02-17,0,NA,NA,742.585647375986,215.2929229736328,0,0,0
US-GLE,2019-02-18,0,NA,NA,788.0971203615636,215.2929229736328,0,0,0
US-GLE,2019-02-19,0,NA,NA,744.2090614342394,215.2929229736328,0,0,0
US-GLE,2019-02-20,0,NA,NA,622.0145572605447,215.2929229736328,0,0,0
US-GLE,2019-02-21,0,NA,NA,815.3394171239909,215.2929229736328,0,0,0
US-GLE,2019-02-22,0,NA,NA,1083.0794035652536,214.37660217285156,0,0,0
US-GLE,2019-02-23,0,NA,NA,782.9663378221018,215.2929229736328,0,0,0
US-GLE,2019-02-24,0,NA,NA,981.3705466902305,215.2929229736328,0,0,0
US-GLE,2019-02-25,0,NA,NA,1299.4267874293857,214.11663818359375,0,0,0
US-GLE,2019-02-26,0.5018694418264024,NA,NA,1610.044251989435,212.5848388671875,0.5313367247581482,6.741995548509294,24.657041649334133
US-GLE,2019-02-27,0,NA,NA,1542.8452273455175,215.2929229736328,0.56167072057724,0,NA
US-GLE,2019-02-28,0,NA,NA,1497.3066961814347,215.2929229736328,0,0,0
US-GLE,2019-03-01,0,NA,NA,1253.9609990738056,215.2929229736328,0,0,0
US-GLE,2019-03-02,0,NA,NA,1242.8511256053123,215.2929229736328,0,0,0
US-GLE,2019-03-03,0,NA,NA,1072.2038554556575,215.05918884277344,0,0,0
US-GLE,2019-03-04,0,NA,NA,1025.8344159204776,214.61270141601562,0,0,0
US-GLE,2019-03-05,0,NA,NA,1317.0872696142628,215.2929229736328,0,0,0
US-GLE,2019-03-06,0.08627744305326983,NA,NA,1735.8600296110774,215.2929229736328,0.6907890439033508,1.0787637165776687,4.312436885811621
US-GLE,2019-03-07,0,NA,NA,1676.4201867727586,215.2929229736328,0.6090620756149292,0,NA
US-GLE,2019-03-08,0,NA,NA,1614.2458582120669,215.2929229736328,0,0,0
US-GLE,2019-03-09,0,NA,NA,1173.036425937841,215.2929229736328,0,0,0
US-GLE,2019-03-10,0,NA,NA,1499.2016885015698,214.768798828125,0,0,0
US-GLE,2019-03-11,0,NA,NA,1809.4240883250293,212.85086059570312,0.5365481376647949,0,NA
US-GLE,2019-03-12,1.057133906417423,NA,NA,2012.443364647681,213.9761962890625,0.578286349773407,13.996655980008654,48.35458457819186
US-GLE,2019-03-13,0,NA,NA,1309.1327783502177,215.2929229736328,0,0,0
US-GLE,2019-03-14,0,NA,NA,1133.2664991357199,215.2929229736328,0,0,0
US-GLE,2019-03-15,0,NA,NA,1502.8684166233236,213.7023162841797,0,0,0
US-GLE,2019-03-16,0,NA,NA,1830.2319042476606,211.70924377441406,0,0,0
US-GLE,2019-03-17,0,NA,NA,1921.4352891768938,209.5940399169922,0.49483925104141235,0,NA
US-GLE,2019-03-18,0,NA,NA,1927.3371914777247,207.4588623046875,0.5145218372344971,0,NA
US-GLE,2019-03-19,0,NA,NA,1599.4513966909653,205.71624755859375,0,0,0
US-GLE,2019-03-20,1.4260746998551452,NA,NA,2241.431287041417,203.16946411132812,0.5109801888465881,19.636107026599348,64.51438093790784
US-GLE,2019-03-21,1.71436261339688,NA,NA,2413.9954720014407,200.38888549804688,0.5152883529663086,23.832053557271138,70.20682824077085
US-GLE,2019-03-22,0.021776073413935525,NA,NA,2050.5251830497396,199.58546447753906,0.5806746482849121,0.28248888384041493,1.1281171055088635
US-GLE,2019-03-23,0,NA,NA,1875.57313299964,198.4837188720703,0,0,0
US-GLE,2019-03-24,0.10718496654320646,NA,NA,2115.4287849924694,201.89891052246094,0.6100667119026184,1.3755769714407506,5.475405032484559
US-GLE,2019-03-25,0,NA,NA,1874.8064590579688,202.0518341064453,0,0,0
US-GLE,2019-03-26,2.399986540829694,NA,NA,2641.4528059861295,198.92279052734375,0.5096782445907593,33.66884629940614,92.2042308957316
US-GLE,2019-03-27,3.053846504585242,NA,NA,2784.4374194557286,195.59280395507812,0.526190996170044,42.45077070663683,108.76833403017372
US-GLE,2019-03-28,1.830146590500702,NA,NA,2642.586030096674,192.4428253173828,0.5362109541893005,25.14168772904668,71.9379386282526
US-GLE,2019-03-29,0,NA,NA,2092.241535706775,191.52423095703125,0,0,0
US-GLE,2019-03-30,0,NA,NA,1693.10258862413,189.83042907714844,0,0,0
US-GLE,2019-03-31,0,NA,NA,2109.4126711166446,187.35105895996094,0,0,0
US-GLE,2019-04-01,0,NA,NA,2009.002606809875,187.27731323242188,0,0,0
US-GLE,2019-04-02,0,NA,NA,2263.277891732047,193.9784698486328,0.6505569815635681,0,NA
US-GLE,2019-04-03,0.5835553999116391,NA,NA,2423.7368761757275,197.1600799560547,0.6465919017791748,7.446781637554523,27.864134608535096
US-GLE,2019-04-04,0.8621660095674021,NA,NA,2551.248044143488,194.07122802734375,0.5962087512016296,11.302453458483797,39.13615000783466
