sitename,date,gpp_umolCm2s,evsp_umolH2Om2s,trans_umolH2Om2s,evapotrans_umolH2Om2s,mrso_kgm2,chi__,vcmax25_umolCm2s,jmax25_umolCm2s
US-UMd,2019-01-01,0,NA,NA,270.308137185289,269.7417297363281,0,0,0
US-UMd,2019-01-02,0,NA,NA,300.14073713816737,269.7417297363281,0,0,0
US-UMd,2019-01-03,0.09909794625630718,NA,NA,429.4081188646364,269.7417297363281,0.6895179748535156,0.9044665034707577,3.4571655760373687
US-UMd,2019-01-04,1.3350819547971091,NA,NA,542.6661038594972,269.7417297363281,0.7008045315742493,11.880162674060557,35.02458275761455
US-UMd,2019-01-05,0.991671817538179,NA,NA,507.351693241194,269.7417297363281,0.7582455277442932,8.73842236615019,28.619362637982704
US-UMd,2019-01-06,0.06309812486079741,NA,NA,403.70530215065173,269.7417297363281,0.5822203755378723,0.5930018573963025,2.4751386717980495
US-UMd,2019-01-07,0.0874193048932486,NA,NA,470.3016116172688,269.7417297363281,0.8210281729698181,0.7652233762200922,2.8388362807163503
US-UMd,2019-01-08,0.45030590514709923,NA,NA,538.4508152434855,269.7417297363281,0.7394222021102905,3.986957381130196,12.572909326991066
US-UMd,2019-01-09,0,NA,NA,387.2059454275257,269.7417297363281,0,0,0
US-UMd,2019-01-10,0,NA,NA,314.25604221138934,269.7417297363281,0,0,0
US-UMd,2019-01-11,0,NA,NA,324.44197086640344,269.7417297363281,0,0,0
US-UMd,2019-01-12,0,NA,NA,381.51414643344566,269.7417297363281,0,0,0
US-UMd,2019-01-13,0,NA,NA,355.50169370792537,269.7417297363281,0,0,0
US-UMd,2019-01-14,0,NA,NA,429.8997652015568,269.7417297363281,0.7183539867401123,0,NA
US-UMd,2019-01-15,0.18810162056283453,NA,NA,506.2152880700037,269.7417297363281,0.6547866463661194,1.7868215991256875,6.651357125520008
US-UMd,2019-01-16,0,NA,NA,327.25368354300906,269.7417297363281,0,0,0
US-UMd,2019-01-17,0,NA,NA,382.5836343529784,269.7417297363281,0,0,0
US-UMd,2019-01-18,0,NA,NA,366.58834160110104,269.7417297363281,0,0,0
US-UMd,2019-01-19,0,NA,NA,246.73714850542473,269.7417297363281,0,0,0
US-UMd,2019-01-20,0,NA,NA,181.59707494601298,269.7417297363281,0,0,0
US-UMd,2019-01-21,0,NA,NA,290.32545953743744,269.7417297363281,0,0,0
US-UMd,2019-01-22,0,NA,NA,375.29413806803433,269.7417297363281,0,0,0
US-UMd,2019-01-23,0,NA,NA,467.6918388026241,269.7417297363281,0,0,0
US-UMd,2019-01-24,0,NA,NA,500.92211813347825,269.7417297363281,0.7031670212745667,0,NA
US-UMd,2019-01-25,0,NA,NA,296.93556941831065,269.7417297363281,0,0,0
US-UMd,2019-01-26,0,NA,NA,293.8706941381403,269.7417297363281,0,0,0
US-UMd,2019-01-27,0,NA,NA,241.03923650926032,269.7417297363281,0,0,0
US-UMd,2019-01-28,0,NA,NA,242.33961960783714,269.7417297363281,0,0,0
US-UMd,2019-01-29,0,NA,NA,291.42963251581904,269.7417297363281,0,0,0
US-UMd,2019-01-30,0,NA,NA,270.0990111923512,269.7417297363281,0,0,0
US-UMd,2019-01-31,0,NA,NA,293.08663934101287,269.7417297363281,0,0,0
US-UMd,2019-02-01,0,NA,NA,370.64871639626506,269.7417297363281,0,0,0
US-UMd,2019-02-02,0,NA,NA,608.9620905403247,269.7417297363281,0.6851191520690918,0,NA
